Track #0, length 7
 44723382 (2079) module 42, x 3.0125, y -9.115, z 484.921
 42629079 (1975) module 40, x 2.4075, y -7.3275, z 389.411
 40534001 (1865) module 38, x   1.94, y -5.8975, z 312.463

Track #48, length 4
 52449001 (2487) module 50, x   6.31, y -0.7825, z 739.531
 50352113 (2388) module 48, x 5.8975, y   -0.7, z 694.531
 48255224 (2290) module 46, x 5.5125, y -0.645, z 649.531
 46158335 (2184) module 44, x 5.1275, y  -0.59, z 604.531

Track #49, length 5
 53096381 (2488) module 50, x 6.3675, y -8.7575, z 738.469
 51001288 (2389) module 48, x 5.9275, y -8.1525, z 693.469
 48906194 (2289) module 46, x 5.4875, y -7.575, z 648.469
 46811101 (2183) module 44, x 5.0475, y -6.9975, z 603.469
 44719097 (2080) module 42, x 3.9475, y -5.4575, z 484.921

Track #50, length 13
 52577255 (2489) module 50, x 6.4475, y 26.9925, z 739.531
 50472686 (2390) module 48, x 6.0625, y 25.3975, z 694.531
 48367861 (2291) module 46, x 5.6775, y 23.7475, z 649.531
 46263804 (2185) module 44, x 5.2925, y 22.1525, z 604.531
 45806096 (2171) module 43, x 4.3575, y 18.2725, z 496.921
 43705167 (2064) module 41, x 3.5325, y 14.8075, z 401.411
 41604993 (1955) module 39, x 2.8725, y 12.0575, z 324.463
 39505322 (1848) module 37, x 2.3225, y 9.8025, z 262.469
 37407162 (1737) module 35, x 2.1025, y 8.9225, z 237.469
 35309003 (1629) module 33, x 1.8825, y 7.9875, z 212.469
 33210843 (1520) module 31, x 1.6625, y 7.1075, z 187.469
 31112684 (1410) module 29, x 1.4425, y 6.1725, z 162.469
 29014268 (1307) module 27, x  1.195, y 5.2925, z 137.469

Track #51, length 4
 52449762 (2490) module 50, x  6.695, y -0.6175, z 739.531
 50352875 (2391) module 48, x 6.2275, y -0.5625, z 694.531
 48255987 (2292) module 46, x 5.7875, y -0.5075, z 649.531
 46158843 (2186) module 44, x 5.3475, y  -0.48, z 604.531

Track #52, length 4
 52462026 (2491) module 50, x  8.015, y 2.0225, z 739.531
 50364116 (2392) module 48, x 7.4925, y 1.8575, z 694.531
 48266462 (2293) module 46, x 6.9425, y 1.7475, z 649.531
 46168552 (2188) module 44, x 6.3925, y   1.61, z 604.531

Track #53, length 5
